Gestation Age,Before This Point,On This Day
37w0d,1.7%,0.6%
37w1d,2.9%,0.6%
37w2d,4.6%,0.6%
37w3d,5.2%,0.6%
37w4d,5.8%,0.6%
37w5d,6.3%,0.7%
37w6d,7.1%,0.9%
38w0d,8.0%,1.0%
38w1d,9.0%,1.0%
38w2d,10.0%,1.0%
38w3d,10.8%,1.2%
38w4d,12.2%,1.4%
38w5d,13.6%,1.6%
38w6d,15.2%,1.6%
39w0d,16.8%,1.6%
39w1d,18.4%,1.6%
39w2d,20.0%,1.6%
39w3d,21.6%,1.7%
39w4d,23.5%,2.0%
39w5d,25.6%,2.3%
39w6d,28.0%,2.6%
40w0d,30.7%,2.9%
40w1d,33.6%,3.2%
40w2d,36.8%,3.5%
40w3d,40.3%,3.7%
40w4d,44.5%,4%
40w5d,49.5%,4.1%
40w6d,55.7%,4.2%
41w0d,63.1%,4%
41w1d,69.6%,3.5%
41w2d,74.8%,3.2%
41w3d,78.9%,3%
41w4d,82.4%,2.8%
41w5d,85.4%,2.6%
41w6d,88.2%,2.3%
42w0d,90.9%,2%
42w1d,93.1%,1.8%
42w2d,95.2%,1.5%
42w3d,96.6%,1.2%
42w4d,97.6%,0.9%
42w5d,98.3%,0.7%
42w6d,98.8%,0.5%
43w0d,99.2%,0.4%
